Path,Lcdate,LC3,Acdate,TOF,Avinf,Adec,Neng,P0
358,20340603,0.74729582E+02,20470603,13.00,0.86038771E+01,0.13952125E+02,2,25
358,20300104,0.47350980E+02,20410104,11.00,0.14091570E+02,0.88113104E+01,2,25
358,20300102,0.45137194E+02,20411223,11.97,0.12542922E+02,0.85307156E+01,2,25
358,20300102,0.43734675E+02,20421015,12.78,0.11416388E+02,0.83572335E+01,2,25
358,20310204,0.45331309E+02,20431212,12.85,0.10287367E+02,0.83738218E+01,2,25
358,20300104,0.47464004E+02,20410104,11.00,0.14091476E+02,0.88104235E+01,2,25
358,20300103,0.44935411E+02,20420103,12.00,0.12499440E+02,0.85230400E+01,2,25
358,20300102,0.43752752E+02,20421117,12.87,0.11302912E+02,0.83404863E+01,2,25
358,20300104,0.47282648E+02,20410104,11.00,0.14093204E+02,0.88099785E+01,2,25
358,20300103,0.44897689E+02,20420103,12.00,0.12499558E+02,0.85229754E+01,2,25
358,20300102,0.43578999E+02,20421216,12.95,0.11197800E+02,0.83280382E+01,2,25
358,20310205,0.45989962E+02,20430205,12.00,0.11378181E+02,0.83708718E+01,2,25
358,20310204,0.45234707E+02,20440204,13.00,0.10115238E+02,0.83776470E+01,2,25
358,20310206,0.47042634E+02,20420205,11.00,0.12891759E+02,0.84118938E+01,2,25
358,20310205,0.45877568E+02,20430205,12.00,0.11378544E+02,0.83711892E+01,2,25
358,20310204,0.45282485E+02,20440109,12.93,0.10199270E+02,0.83753394E+01,2,25
358,20320314,0.53283679E+02,20430315,11.00,0.11617993E+02,0.90864199E+01,2,25
358,20320313,0.52444752E+02,20440104,11.81,0.10522524E+02,0.91778906E+01,2,25
358,20320313,0.51591110E+02,20450220,12.94,0.92401421E+01,0.93545590E+01,2,25
358,20320315,0.54779715E+02,20420316,10.00,0.13241227E+02,0.90097563E+01,2,25
358,20301026,0.69881778E+02,20411025,11.00,0.13412138E+02,0.84487685E+01,2,25
358,20320314,0.52427537E+02,20440314,12.00,0.10285373E+02,0.92025094E+01,2,25
358,20300206,0.57755354E+02,20430206,13.00,0.11242131E+02,0.82638474E+01,2,25
358,20320315,0.54690963E+02,20420315,10.00,0.13242022E+02,0.90098674E+01,2,25
358,20320314,0.53275672E+02,20430315,11.00,0.11617897E+02,0.90866431E+01,2,25
358,20320313,0.51585377E+02,20450314,13.00,0.91799856E+01,0.93652753E+01,2,25
358,20320315,0.54689794E+02,20420316,10.00,0.13242077E+02,0.90105493E+01,2,25
358,20330425,0.64990763E+02,20440425,11.00,0.10730799E+02,0.10770225E+02,2,25
358,20330425,0.63820700E+02,20450425,12.00,0.95610215E+01,0.11051737E+02,2,25
358,20330424,0.62911254E+02,20460425,13.00,0.85919392E+01,0.11372531E+02,2,25
358,20330426,0.66508043E+02,20430426,10.00,0.12160285E+02,0.10533624E+02,2,25
358,20330425,0.64968422E+02,20440425,11.00,0.10731191E+02,0.10771789E+02,2,25
358,20330424,0.62854114E+02,20460419,12.99,0.86050718E+01,0.11367986E+02,2,25
358,20320315,0.54667531E+02,20420316,10.00,0.13242373E+02,0.90107110E+01,2,25
368,20250508,0.73967250E+02,20360507,11.00,0.10722843E+02,0.22055165E+02,2,25
368,20250507,0.72514753E+02,20370507,12.00,0.96417230E+01,0.22300536E+02,2,25
368,20250506,0.71468376E+02,20380507,13.00,0.87404443E+01,0.22564054E+02,2,25
368,20250509,0.75632215E+02,20350509,10.00,0.12034945E+02,0.21824557E+02,2,25
3358,20271129,0.16594055E+02,20401129,13.00,0.14244941E+02,0.88608811E+01,2,25
3358,20281231,0.16066799E+02,20411231,13.00,0.13048785E+02,0.84141116E+01,2,25
3358,20280216,0.15850038E+02,20410216,13.00,0.13860753E+02,0.87984221E+01,2,25
3358,20280217,0.16090412E+02,20410216,13.00,0.13858572E+02,0.87981410E+01,2,25
3358,20280216,0.15825880E+02,20410216,13.00,0.13860219E+02,0.87984041E+01,2,25
3358,20300208,0.16183702E+02,20420208,12.00,0.13408388E+02,0.89872361E+01,2,25
3358,20300205,0.15915558E+02,20430205,13.00,0.11761855E+02,0.90553144E+01,2,25
3358,20290307,0.60224901E+01,20420307,13.00,0.13273728E+02,0.89951534E+01,2,25
3358,20290318,0.15512056E+02,20410318,12.00,0.14479219E+02,0.84829789E+01,2,25
3358,20290315,0.15018434E+02,20420315,13.00,0.12704240E+02,0.83962026E+01,2,25
3358,20290319,0.15601757E+02,20410319,12.00,0.14477284E+02,0.84828606E+01,2,25
3358,20290519,0.53847918E+01,20420519,13.00,0.12899313E+02,0.89764309E+01,2,25
3358,20290517,0.35841202E+02,20420517,13.00,0.13759232E+02,0.10259442E+02,2,25
3358,20300209,0.16193325E+02,20420209,12.00,0.13403666E+02,0.89874074E+01,2,25
3358,20301008,0.24137291E+02,20430922,12.96,0.10887323E+02,0.91448273E+01,2,25
3358,20300425,0.15855530E+02,20420425,12.00,0.13015441E+02,0.89757858E+01,2,25
3358,20300204,0.15903199E+02,20430205,13.00,0.11763032E+02,0.90553211E+01,2,25
3358,20300426,0.15865495E+02,20420426,12.00,0.13015222E+02,0.89756559E+01,2,25
3358,20300422,0.15409484E+02,20430422,13.00,0.11444289E+02,0.90512124E+01,2,25
3458,20310202,0.46235784E+02,20420202,11.00,0.12905399E+02,0.84117470E+01,2,25
3458,20310202,0.45320476E+02,20430202,12.00,0.11389210E+02,0.83715395E+01,2,25
3458,20310201,0.44649364E+02,20440126,12.98,0.10147033E+02,0.83800440E+01,2,25
3458,20310202,0.46145561E+02,20420202,11.00,0.12905911E+02,0.84123062E+01,2,25
3458,20310202,0.45530687E+02,20430202,12.00,0.11389651E+02,0.83725131E+01,2,25
3458,20310201,0.45008469E+02,20431105,12.76,0.10412277E+02,0.83748324E+01,2,25
3258,20290115,0.22276462E+02,20420115,13.00,0.13057374E+02,0.84593914E+01,2,25
3258,20280202,0.25097902E+02,20410201,13.00,0.14417840E+02,0.85227543E+01,2,25
3258,20290225,0.21378641E+02,20420225,13.00,0.12862898E+02,0.84493023E+01,2,25
33358,20290222,0.18904291E+01,20420223,13.00,0.13334181E+02,0.89901777E+01,2,25
33358,20280416,0.23304810E+01,20410416,13.00,0.14323230E+02,0.84739943E+01,2,25
33358,20280630,0.79508103E+01,20410630,13.00,0.13945887E+02,0.84560931E+01,2,25
33358,20280814,0.66458670E+01,20410814,13.00,0.13707641E+02,0.84416320E+01,2,25
33358,20280807,0.62743405E+01,20410808,13.00,0.13741541E+02,0.84434857E+01,2,25
33358,20290223,0.18623097E+01,20420223,13.00,0.13331372E+02,0.89903703E+01,2,25
33358,20290508,0.16619637E+01,20420508,13.00,0.12952699E+02,0.89756702E+01,2,25
33458,20281223,0.15636083E+02,20411223,13.00,0.13087237E+02,0.84155046E+01,2,25
33458,20280303,0.27569471E+02,20410303,13.00,0.14573139E+02,0.84895428E+01,2,25
33458,20280417,0.56804419E+01,20410417,13.00,0.14331836E+02,0.83623683E+01,2,25
33458,20290311,0.15182970E+02,20420312,13.00,0.12724547E+02,0.83990375E+01,2,25
33458,20290314,0.15593743E+02,20410314,12.00,0.14509212E+02,0.84855658E+01,2,25
33458,20290311,0.15103123E+02,20420312,13.00,0.12725380E+02,0.83990708E+01,2,25
33458,20290314,0.15553195E+02,20410314,12.00,0.14509764E+02,0.84855956E+01,2,25
33458,20290311,0.15053232E+02,20420312,13.00,0.12725175E+02,0.83990643E+01,2,25
32358,20281122,0.11292018E+02,20411122,13.00,0.13815729E+02,0.89864856E+01,2,25
32358,20280222,0.11797822E+02,20410221,13.00,0.14637479E+02,0.84946909E+01,2,25
32358,20280312,0.12758190E+02,20410312,13.00,0.14488383E+02,0.84810988E+01,2,25
32358,20280908,0.92313229E+01,20410908,13.00,0.14221057E+02,0.89788960E+01,2,25
32358,20281122,0.86208832E+01,20411122,13.00,0.13759290E+02,0.89175470E+01,2,25
32358,20290111,0.98437099E+01,20420112,13.00,0.13500499E+02,0.89229629E+01,2,25
32358,20290401,0.20406899E+02,20420401,13.00,0.13153297E+02,0.90036458E+01,2,25
32358,20290708,0.21535670E+02,20420709,13.00,0.12644045E+02,0.89494667E+01,2,25
333358,20280219,0.43808136E+01,20410219,13.00,0.14629497E+02,0.84917585E+01,2,25
322258,20280701,0.20375202E+02,20410701,13.00,0.14404750E+02,0.87648275E+01,2,25