Lcdate,LC3,Path,Avinf,Adec,TOF,DSMdv
20250601,51.3,3367,11.41,72.65,10,1.21
20250605,52.56,3367,9.29,73.59,11,0.93
20250930,25.3,337,7.04,77.69,12,6.94
20260524,29.68,3367,11.47,72.63,9,2.78
20260808,27.33,3367,7.45,74.68,11,2.72
20260817,26.3,337,8.32,80.1,10,6.62
20270612,30.72,3367,8.71,76.98,10,2.81
20270715,52.56,337,8.44,82.35,11,3.48
20271017,14.87,337,8.13,79.49,9,7.35
20280808,26.62,3367,8.45,77.13,9,6.21
20290908,48.51,337,9.69,75.21,10,4.64
20291124,12.8,323357,13.1,47.99,11,0.44
20300724,17.13,332357,11.55,47.13,11,0.84
20300730,18.03,332357,13.99,48.46,10,1.13
20310222,30.84,32237,7.61,71.94,12,1.86
20310526,11.95,323357,10.19,47.54,11,0.63
20310716,52.56,3357,14.05,48.6,9,0.83
20310727,17.41,32357,11.54,47.12,10,0.81
20320503,28.5,3357,8.47,47.8,11,0.63
20320719,27.19,3357,9.89,47.55,10,1.01
20320726,28.44,3357,12.15,47.59,9,1.21
20330609,29.88,3357,8.84,51.66,10,1.45
20330612,29.9,3357,10.84,50.76,9,1.6
20330828,27.96,3357,7.05,53.13,11,1.62
20330829,27.29,3357,12.91,50.16,8,2.17
20340720,25.63,3357,10.58,50.76,8,5.32
20340725,31.09,3357,8.62,51.75,9,4.8
20341002,48.96,3347,7.92,56.52,11,1.11
20341004,49.15,3347,9.45,54.36,10,1.59
20351007,26.37,3347,9.44,54.34,9,2.96
20351011,27.53,3347,7.89,56.55,10,2.68
20351011,27.5,3347,6.8,59.34,11,2.5
20360215,44.55,32337,10.72,40.69,11,1.37
20360821,49.61,3347,8.07,56.28,9,4.94
20360826,29.55,3347,9.65,54.21,8,6.07
20360923,57.26,337,7.96,52.67,10,4.27